t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
209288883,-429.902,-429.902,0.0000,0.0221,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209290204,-429.902,-429.902,0.0000,0.0237,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209290567,-429.902,-429.902,0.0000,-0.0008,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209291883,-429.902,-429.902,0.0000,-0.0298,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209292571,-429.902,-429.902,0.0000,-0.0252,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209293887,-429.902,-429.902,0.0000,-0.0282,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209294571,-429.902,-429.902,0.0000,0.0008,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209295571,-429.902,-429.902,0.0000,-0.0008,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209296882,-429.902,-429.902,0.0000,0.0252,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209297570,-429.902,-429.902,0.0000,-0.1137,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209298571,-429.902,-429.902,0.0000,0.0145,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209299566,-429.902,-429.902,0.0000,-0.0435,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209300566,-429.902,-429.902,0.0000,0.0816,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209301882,-429.902,-429.902,0.0000,-0.0008,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209302571,-429.902,-429.902,0.0000,0.0298,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209303547,-429.902,-429.902,0.0000,-0.0511,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209304564,-429.902,-429.902,0.0000,0.0481,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209305566,-429.902,-429.902,0.0000,0.0114,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209306882,-429.902,-429.902,0.0000,-0.0008,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209307573,-429.902,-429.902,0.0000,0.0420,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209308547,-429.902,-429.902,0.0000,0.0572,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209309880,-429.902,-429.902,0.0000,-0.0359,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209310543,-429.902,-429.902,0.0000,0.0694,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209311864,-429.902,-429.902,0.0000,0.0099,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209312550,-429.902,-429.902,0.0000,-0.0114,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209313865,-429.902,-429.902,0.0000,-0.0099,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209314592,-429.902,-429.902,0.0000,-0.1198,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209315547,-429.902,-429.902,0.0000,0.0023,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209316872,-429.902,-429.902,0.0000,-0.0145,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209317542,-429.902,-429.902,0.0000,0.0359,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209318597,-429.902,-429.902,0.0000,-0.1473,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209319542,-429.902,-429.902,0.0000,0.0496,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209320615,-429.902,-429.902,0.0000,0.0023,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209321869,-429.902,-429.902,0.0000,0.1320,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209322592,-429.902,-429.902,0.0000,0.0328,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209323547,-429.902,-429.902,0.0000,-0.0069,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209324553,-429.902,-429.902,0.0000,-0.0175,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209325542,-429.902,-429.902,0.0000,-0.0084,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209326904,-429.902,-429.902,0.0000,-0.0359,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209327544,-429.902,-429.902,0.0000,0.0252,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209328558,-429.902,-429.902,0.0000,-0.0542,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209329859,-429.902,-429.902,0.0000,0.0206,0.0000,-0.0005,0.000,32.44,38.0,1,2065
209330571,-429.902,-429.902,0.0000,-0.0542,0.0000,-0.0005,0.000,32.44,38.0,1,2065
