t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
242064859,-213.695,-199.844,0.0000,0.1640,15.2940,-10.0927,0.000,30.80,41.0,3,0
242065860,-213.643,-199.910,0.9000,-0.9041,15.4366,4.8390,0.000,30.80,41.0,3,0
242067185,-213.643,-199.888,0.0000,-0.0435,0.0000,6.9165,0.000,30.80,41.0,3,0
242067546,-213.695,-199.866,-0.9000,0.4646,-15.4366,4.1567,0.000,30.80,41.0,3,0
242068871,-213.695,-199.844,0.0000,0.8629,15.2940,-1.4134,0.000,30.80,41.0,3,0
242069611,-213.643,-199.844,0.9000,0.2113,15.4366,-10.1949,0.000,30.80,41.0,3,0
242070897,-213.643,-199.910,0.0000,-0.8721,0.0000,5.3905,0.000,30.80,41.0,3,0
242071931,-213.695,-199.822,-0.9000,0.9255,-15.4366,-1.6068,0.000,30.80,41.0,3,0
242072873,-213.695,-199.822,0.0000,0.2846,15.2940,-9.8972,0.000,30.80,41.0,3,0
242074193,-213.643,-199.888,0.9000,-0.6981,15.4366,4.6786,0.000,30.80,41.0,3,0
242074915,-213.643,-199.866,0.0000,0.0114,0.0000,6.8583,0.000,30.80,41.0,3,0
242075873,-213.695,-199.800,-0.9000,0.8934,-15.4366,-1.4486,0.000,30.80,41.0,3,0
242076876,-213.695,-199.800,0.0000,0.4265,15.2940,-10.2389,0.000,30.80,41.0,3,0
242077873,-213.643,-199.866,0.9000,-0.8278,15.4366,4.7698,0.000,30.80,41.0,3,0
242079261,-213.643,-199.844,0.0000,-0.0053,0.0000,6.8825,0.000,30.80,41.0,3,0
242080190,-213.695,-199.778,-0.9000,1.0216,-15.4366,-1.2453,0.000,30.80,41.0,3,0
242080857,-213.695,-199.778,0.0000,0.4173,15.2940,-10.2905,0.000,30.80,41.0,3,0
242081858,-213.643,-199.844,0.9000,-0.9239,15.4366,4.7269,0.000,30.80,41.0,3,0
242082860,-213.643,-199.822,0.0000,0.0496,0.0000,7.0616,0.000,30.80,41.0,3,0
242084266,-213.695,-199.778,-0.9000,0.8980,-15.4366,-1.6584,0.000,30.80,41.0,3,0
242084866,-213.695,-199.778,0.0000,0.3349,15.2940,-9.9093,0.000,30.80,41.0,3,0
242085872,-213.643,-199.822,0.9000,-0.7088,15.4366,4.6687,0.000,30.80,41.0,3,0
242087193,-213.643,-199.800,0.0000,0.0816,0.0000,7.0539,0.000,30.80,41.0,3,0
242087577,-213.695,-199.778,-0.9000,0.5211,-15.4366,4.2952,0.000,30.80,41.0,3,0
242088894,-213.695,-199.735,0.0000,0.9728,15.2940,-1.4903,0.000,30.80,41.0,3,0
242089867,-213.643,-199.800,0.9000,-0.9133,15.4366,4.8884,0.000,30.80,41.0,3,0
242091199,-213.643,-199.778,0.0000,0.0633,0.0000,7.1209,0.000,30.80,41.0,3,0
242092198,-213.695,-199.713,-0.9000,1.0506,-15.4366,-1.5562,0.000,30.80,41.0,3,0
242092868,-213.695,-199.713,0.0000,0.3075,15.2940,-10.3257,0.000,30.80,41.0,3,0
242094202,-213.643,-199.778,0.9000,-0.8202,15.4366,4.9225,0.000,30.80,41.0,3,0
242094868,-213.643,-199.756,0.0000,0.0069,0.0000,7.1165,0.000,30.80,41.0,3,0
242095870,-213.695,-199.691,-0.9000,0.9972,-15.4366,-1.5694,0.000,30.80,41.0,3,0
242096874,-213.695,-199.691,0.0000,0.3426,15.2940,-10.3410,0.000,30.80,41.0,3,0
242097872,-213.643,-199.756,0.9000,-0.9407,15.4366,4.8764,0.000,30.80,41.0,3,0
242099205,-213.643,-199.735,0.0000,0.0130,0.0000,7.1736,0.000,30.80,41.0,3,0
242099869,-213.695,-199.669,-0.9000,0.9911,-15.4366,-1.6002,0.000,30.80,41.0,3,0
242100870,-213.695,-199.669,0.0000,0.2373,15.2940,-10.2784,0.000,30.80,41.0,3,0
242102196,-213.643,-199.735,0.9000,-1.0033,15.4366,4.8687,0.000,30.80,41.0,3,0
242102865,-213.643,-199.713,0.0000,0.0496,0.0000,7.2000,0.000,30.80,41.0,3,0
242104198,-213.695,-199.669,-0.9000,0.8919,-15.4366,-1.5826,0.000,30.80,41.0,3,0
242104870,-213.695,-199.647,0.0000,0.4402,15.2940,-10.2784,0.000,30.80,41.0,3,0
242105870,-213.643,-199.713,0.9000,-0.8827,15.4366,4.8533,0.000,30.80,41.0,3,0
242107195,-213.643,-199.691,0.0000,-0.0175,0.0000,7.2494,0.000,30.80,41.0,3,0
242107548,-213.695,-199.691,-0.9000,0.4860,-15.4366,4.4281,0.000,30.80,41.0,3,0
242108868,-213.695,-199.647,0.0000,0.7973,15.2940,-1.5496,0.000,30.80,41.0,3,0
242109557,-213.643,-199.647,0.9000,0.3212,15.4366,-10.3037,0.000,30.80,41.0,3,0
242110894,-213.643,-199.713,0.0000,-1.0155,0.0000,4.8720,0.000,30.80,41.0,3,0
242111869,-213.695,-199.647,-0.9000,0.7378,-15.4366,-1.5244,0.000,30.80,41.0,3,0
242112870,-213.695,-199.625,0.0000,0.3883,15.2940,-10.2477,0.000,30.80,41.0,3,0
242114195,-213.643,-199.691,0.9000,-0.8949,15.4366,4.9104,0.000,30.80,41.0,3,0
242114857,-213.643,-199.691,0.0000,-0.0557,0.0000,7.1901,0.000,30.80,41.0,3,0
242115953,-213.695,-199.625,-0.9000,0.8995,-15.4366,-1.7342,0.000,30.80,41.0,3,0
242116870,-213.695,-199.603,0.0000,0.3853,15.2940,-9.9389,0.000,30.80,41.0,3,0
242117857,-213.643,-199.669,0.9000,-0.8949,15.4366,4.8906,0.000,30.80,41.0,3,0
242119188,-213.643,-199.669,0.0000,0.0618,0.0000,7.0956,0.000,30.80,41.0,3,0
242119856,-213.695,-199.603,-0.9000,0.9163,-15.4366,-1.5683,0.000,30.80,41.0,3,0
242120860,-213.695,-199.603,0.0000,0.3151,15.2940,-10.2696,0.000,30.80,41.0,3,0
242122182,-213.643,-199.669,0.9000,-1.0368,15.4366,4.8994,0.000,30.80,41.0,3,0
242122855,-213.643,-199.647,0.0000,0.0526,0.0000,7.2121,0.000,30.80,41.0,3,0
242124265,-213.695,-199.581,-0.9000,0.8476,-15.4366,-1.7705,0.000,30.80,41.0,3,0
242124864,-213.695,-199.581,0.0000,0.4448,15.2940,-9.8862,0.000,30.80,41.0,3,0
242125871,-213.643,-199.647,0.9000,-0.9972,15.4366,4.7500,0.000,30.80,41.0,3,0
242127192,-213.643,-199.625,0.0000,0.0816,0.0000,7.1791,0.000,30.80,41.0,3,0
242127599,-213.695,-199.625,-0.9000,0.3853,-15.4366,4.3270,0.000,30.80,41.0,3,0
242128898,-213.695,-199.581,0.0000,0.9545,15.2940,-1.7232,0.000,30.80,41.0,3,0
242129870,-213.643,-199.625,0.9000,-0.9911,15.4366,4.7544,0.000,30.80,41.0,3,0
242131198,-213.643,-199.603,0.0000,0.0435,0.0000,7.1132,0.000,30.80,41.0,3,0
242131874,-213.695,-199.559,-0.9000,0.7774,-15.4366,-1.5562,0.000,30.80,41.0,3,0
242132867,-213.695,-199.559,0.0000,0.3212,15.2940,-10.2026,0.000,30.80,41.0,3,0
242134197,-213.643,-199.625,0.9000,-1.0384,15.4366,4.8599,0.000,30.80,41.0,3,0
242134865,-213.643,-199.603,0.0000,-0.0511,0.0000,7.1528,0.000,30.80,41.0,3,0
242135939,-213.695,-199.559,-0.9000,0.8370,-15.4366,-1.6793,0.000,30.80,41.0,3,0
242136859,-213.695,-199.537,0.0000,0.4036,15.2940,-9.8093,0.000,30.80,41.0,3,0
242137857,-213.643,-199.603,0.9000,-0.9743,15.4366,4.7566,0.000,30.80,41.0,3,0
242139185,-213.643,-199.603,0.0000,-0.1137,0.0000,7.0989,0.000,30.80,41.0,3,0
242139854,-213.695,-199.537,-0.9000,0.8827,-15.4366,-1.4991,0.000,30.80,41.0,3,0
242140857,-213.695,-199.537,0.0000,0.1946,15.2940,-10.1729,0.000,30.80,41.0,3,0
242141858,-213.643,-199.603,0.9000,-0.9911,15.4366,4.9181,0.000,30.80,41.0,3,0
242142936,-213.643,-199.581,0.0000,0.0389,0.0000,7.0396,0.000,30.80,41.0,3,0
242144196,-213.695,-199.537,-0.9000,0.8110,-15.4366,-1.2739,0.000,30.80,41.0,3,0
242144906,-213.695,-199.537,0.0000,0.2815,15.2940,-10.2444,0.000,30.80,41.0,3,0
242146194,-213.643,-199.603,0.9000,-1.0842,15.4366,4.8895,0.000,30.80,41.0,3,0
242147237,-213.643,-199.581,0.0000,0.0237,0.0000,7.1604,0.000,30.80,41.0,3,0
242147576,-213.695,-199.559,-0.9000,0.4570,-15.4366,3.6920,0.000,30.80,41.0,3,0
242148920,-213.695,-199.537,0.0000,0.7607,15.2940,-1.4618,0.000,30.80,41.0,3,0
242149585,-213.643,-199.537,0.9000,0.2174,15.4366,-10.3872,0.000,30.80,41.0,3,0
242150900,-213.643,-199.603,0.0000,-1.1177,0.0000,4.9818,0.000,30.80,41.0,3,0
242151585,-213.695,-199.603,-0.9000,-0.1854,-15.4366,7.4131,0.000,30.80,41.0,3,0
242152587,-213.695,-199.559,0.0000,0.6386,15.2940,-1.4057,0.000,30.80,41.0,3,0
242153952,-213.643,-199.559,0.9000,0.1869,15.4366,-10.0620,0.000,30.80,41.0,3,0
242154555,-213.643,-199.647,0.0000,-1.0689,0.0000,5.4279,0.000,30.80,41.0,3,0
242155552,-213.695,-199.625,-0.9000,-0.0618,-15.4366,7.2374,0.000,30.80,41.0,3,0
242156608,-213.695,-199.581,0.0000,0.7424,15.2940,-1.4607,0.000,30.80,41.0,3,0
242157577,-213.643,-199.581,0.9000,0.1961,15.4366,-10.3399,0.000,30.80,41.0,3,0
242158890,-213.643,-199.669,0.0000,-1.2230,0.0000,4.4138,0.000,30.80,41.0,3,0
242159582,-213.695,-199.647,-0.9000,-0.1915,-15.4366,7.5241,0.000,30.80,41.0,3,0
242160578,-213.695,-199.625,0.0000,0.6325,15.2940,-1.5068,0.000,30.80,41.0,3,0
242161576,-213.643,-199.625,0.9000,0.0450,15.4366,-10.0916,0.000,30.80,41.0,3,0
242162575,-213.643,-199.713,0.0000,-1.1910,0.0000,4.9489,0.000,30.80,41.0,3,0
242163891,-213.695,-199.691,-0.9000,-0.2327,-15.4366,7.2659,0.000,30.80,41.0,3,0
242164908,-213.695,-199.647,0.0000,0.1320,15.2940,-10.1894,0.000,30.80,41.0,3,0
242166191,-213.643,-199.713,0.9000,-1.0918,15.4366,4.9686,0.000,30.80,41.0,3,0
242167235,-213.643,-199.713,0.0000,-0.0252,0.0000,7.0770,0.000,30.80,41.0,3,0
242167576,-213.695,-199.691,-0.9000,0.3487,-15.4366,4.2545,0.000,30.80,41.0,3,0
242168889,-213.695,-199.669,0.0000,0.7210,15.2940,-1.3277,0.000,30.80,41.0,3,0
242170230,-213.643,-199.735,0.9000,-1.0750,15.4366,4.9148,0.000,30.80,41.0,3,0
242171237,-213.643,-199.735,0.0000,0.0114,0.0000,7.0978,0.000,30.80,41.0,3,0
242171906,-213.695,-199.669,-0.9000,0.8827,-15.4366,-1.3662,0.000,30.80,41.0,3,0
242172866,-213.695,-199.669,0.0000,0.1381,15.2940,-10.3971,0.000,30.80,41.0,3,0
242174190,-213.643,-199.735,0.9000,-1.1330,15.4366,4.9269,0.000,30.80,41.0,3,0
242174911,-213.643,-199.735,0.0000,0.0237,0.0000,7.2308,0.000,30.80,41.0,3,0
242175864,-213.695,-199.669,-0.9000,0.9102,-15.4366,-1.5639,0.000,30.80,41.0,3,0
242176857,-213.695,-199.669,0.0000,0.2693,15.2940,-10.2751,0.000,30.80,41.0,3,0
242178185,-213.643,-199.756,0.9000,-1.0811,15.4366,4.8170,0.000,30.80,41.0,3,0
242179180,-213.643,-199.735,0.0000,-0.0633,0.0000,7.2582,0.000,30.80,41.0,3,0
242179863,-213.695,-199.669,-0.9000,0.7393,-15.4366,-1.5584,0.000,30.80,41.0,3,0
242180867,-213.695,-199.669,0.0000,0.1900,15.2940,-10.2345,0.000,30.80,41.0,3,0
242182189,-213.643,-199.756,0.9000,-1.0094,15.4366,4.8610,0.000,30.80,41.0,3,0
242182906,-213.643,-199.735,0.0000,0.0023,0.0000,7.1824,0.000,30.80,41.0,3,0
242184191,-213.695,-199.691,-0.9000,0.9041,-15.4366,-1.5233,0.000,30.80,41.0,3,0
242184765,-213.695,-199.669,0.0000,0.4936,15.2940,-9.6840,0.000,30.80,41.0,3,0
242185858,-213.643,-199.735,0.9000,-0.8156,15.4366,5.6740,0.000,30.80,41.0,3,0
