t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
28020571,-20.830,-20.852,0.0000,-0.0053,0.0000,0.0390,0.000,32.34,39.0,3,0
28021569,-20.830,-20.852,0.0000,0.0374,0.0000,-0.0159,0.000,32.34,39.0,3,0
28022902,-20.830,-20.852,0.0000,-0.0999,0.0000,0.0093,0.000,32.34,39.0,3,0
28023546,-20.830,-20.852,0.0000,0.0282,0.0000,-0.0137,0.000,32.34,39.0,3,0
28024551,-20.830,-20.830,0.0000,0.0725,0.0000,0.0148,0.000,32.34,39.0,3,0
28025595,-20.830,-20.852,0.0000,-0.1060,0.0000,-0.0038,0.000,32.34,39.0,3,0
28026589,-20.830,-20.852,0.0000,0.0450,0.0000,0.0555,0.000,32.34,39.0,3,0
28027914,-20.830,-20.852,0.0000,-0.0404,0.0000,0.0104,0.000,32.34,39.0,3,0
28028545,-20.830,-20.852,0.0000,-0.0435,0.0000,-0.0456,0.000,32.34,39.0,3,0
28029554,-20.830,-20.830,0.0000,0.0465,0.0000,-0.0390,0.000,32.34,39.0,3,0
28030865,-20.830,-20.852,0.0000,0.0099,0.0000,0.0390,0.000,32.34,39.0,3,0
28031543,-20.830,-20.852,0.0000,-0.0084,0.0000,0.0093,0.000,32.34,39.0,3,0
28032887,-20.830,-20.852,0.0000,-0.0053,0.0000,0.0159,0.000,32.34,39.0,3,0
28033542,-20.830,-20.852,0.0000,-0.0069,0.0000,-0.0236,0.000,32.34,39.0,3,0
28034924,-20.830,-20.852,0.0000,0.0343,0.0000,0.0170,0.000,32.34,39.0,3,0
28035547,-20.830,-20.852,0.0000,-0.0771,0.0000,0.0060,0.000,32.34,39.0,3,0
28036565,-20.830,-20.830,0.0000,0.0938,0.0000,-0.0335,0.000,32.34,39.0,3,0
28037861,-20.830,-20.852,0.0000,-0.0572,0.0000,0.0126,0.000,32.34,39.0,3,0
28038600,-20.830,-20.852,0.0000,0.0389,0.0000,0.0258,0.000,32.34,39.0,3,0
28039547,-20.830,-20.852,0.0000,-0.0603,0.0000,0.0148,0.000,32.34,39.0,3,0
28040635,-20.830,-20.852,0.0000,0.0572,0.0000,-0.0687,0.000,32.34,39.0,3,0
28041544,-20.830,-20.830,0.0000,0.0313,0.0000,0.0478,0.000,32.34,39.0,3,0
28042921,-20.830,-20.830,0.0000,0.0359,0.0000,0.0148,0.000,32.34,39.0,3,0
28043547,-20.830,-20.852,0.0000,-0.0633,0.0000,0.0368,0.000,32.34,39.0,3,0
28044651,-20.830,-20.830,0.0000,0.0618,0.0000,-0.0148,0.000,32.34,39.0,3,0
28045542,-20.830,-20.852,0.0000,-0.0893,0.0000,0.0126,0.000,32.34,39.0,3,0
28046542,-20.830,-20.852,0.0000,-0.0038,0.0000,-0.0016,0.000,32.34,39.0,3,0
28047868,-20.830,-20.852,0.0000,0.0755,0.0000,-0.0203,0.000,32.34,39.0,3,0
28048608,-20.830,-20.852,0.0000,0.0771,0.0000,0.0214,0.000,32.34,39.0,3,0
28049575,-20.830,-20.852,0.0000,0.0710,0.0000,-0.0005,0.000,32.34,39.0,3,0
28050934,-20.830,-20.852,0.0000,-0.0038,0.0000,-0.0027,0.000,32.34,39.0,3,0
28051574,-20.830,-20.830,0.0000,0.0893,0.0000,0.0225,0.000,32.34,39.0,3,0
28052892,-20.830,-20.852,0.0000,0.1259,0.0000,-0.0038,0.000,32.34,39.0,3,0
28053574,-20.830,-20.852,0.0000,-0.0603,0.0000,-0.0302,0.000,32.34,39.0,3,0
28054967,-20.830,-20.852,0.0000,0.0130,0.0000,-0.0148,0.000,32.34,39.0,3,0
28055546,-20.830,-20.852,0.0000,-0.0023,0.0000,0.0467,0.000,32.34,39.0,3,0
28056547,-20.830,-20.852,0.0000,0.0511,0.0000,-0.0357,0.000,32.34,39.0,3,0
28057928,-20.830,-20.852,0.0000,0.1442,0.0000,-0.0236,0.000,32.34,39.0,3,0
28058574,-20.830,-20.852,0.0000,-0.1305,0.0000,0.0269,0.000,32.34,39.0,3,0
28059577,-20.830,-20.852,0.0000,0.0099,0.0000,0.0445,0.000,32.34,39.0,3,0
28060569,-20.830,-20.852,0.0000,-0.0633,0.0000,-0.0291,0.000,32.34,39.0,3,0
28061569,-20.830,-20.852,0.0000,-0.0298,0.0000,0.0016,0.000,32.34,39.0,3,0
28062892,-20.830,-20.830,0.0000,0.0038,0.0000,-0.0115,0.000,32.34,39.0,3,0
28063573,-20.830,-20.852,0.0000,0.0603,0.0000,0.0478,0.000,32.34,39.0,3,0
28064574,-20.830,-20.852,0.0000,-0.0801,0.0000,-0.0313,0.000,32.34,39.0,3,0
28065569,-20.830,-20.852,0.0000,-0.0145,0.0000,-0.0555,0.000,32.34,39.0,3,0
28066586,-20.830,-20.852,0.0000,-0.0237,0.0000,0.0434,0.000,32.34,39.0,3,0
28067868,-20.830,-20.830,0.0000,0.2144,0.0000,-0.0247,0.000,32.34,39.0,3,0
28068559,-20.830,-20.852,0.0000,-0.2235,0.0000,0.0236,0.000,32.34,39.0,3,0
28069604,-20.830,-20.852,0.0000,0.0008,0.0000,0.0203,0.000,32.34,39.0,3,0
28070911,-20.830,-20.830,0.0000,-0.0084,0.0000,0.0049,0.000,32.34,39.0,3,0
28071597,-20.830,-20.852,0.0000,0.0130,0.0000,-0.0357,0.000,32.34,39.0,3,0
28072872,-20.830,-20.852,0.0000,-0.0221,0.0000,-0.0357,0.000,32.34,39.0,3,0
28073653,-20.830,-20.852,0.0000,0.0572,0.0000,0.0258,0.000,32.34,39.0,3,0
28074904,-20.830,-20.852,0.0000,-0.1274,0.0000,0.0016,0.000,32.34,39.0,3,0
28075547,-20.830,-20.852,0.0000,0.0908,0.0000,-0.0291,0.000,32.34,39.0,3,0
28076565,-20.830,-20.852,0.0000,-0.0633,0.0000,-0.0016,0.000,32.34,39.0,3,0
28077861,-20.830,-20.852,0.0000,0.0069,0.0000,0.0016,0.000,32.34,39.0,3,0
28078600,-20.830,-20.852,0.0000,0.0404,0.0000,-0.0082,0.000,32.34,39.0,3,0
28079547,-20.830,-20.852,0.0000,-0.1320,0.0000,-0.0137,0.000,32.34,39.0,3,0
28080560,-20.830,-20.830,0.0000,0.1152,0.0000,-0.0247,0.000,32.34,39.0,3,0
28081542,-20.830,-20.830,0.0000,0.1045,0.0000,0.0291,0.000,32.34,39.0,3,0
28082911,-20.830,-20.852,0.0000,0.0511,0.0000,0.0467,0.000,32.34,39.0,3,0
28083547,-20.830,-20.852,0.0000,-0.0359,0.0000,-0.0060,0.000,32.34,39.0,3,0
28084639,-20.830,-20.852,0.0000,-0.0114,0.0000,0.0170,0.000,32.34,39.0,3,0
28085545,-20.830,-20.852,0.0000,0.0725,0.0000,0.0082,0.000,32.34,39.0,3,0
28086596,-20.830,-20.852,0.0000,-0.0557,0.0000,0.0181,0.000,32.34,39.0,3,0
28087870,-20.830,-20.852,0.0000,-0.0832,0.0000,-0.0126,0.000,32.34,39.0,3,0
28088568,-20.830,-20.852,0.0000,-0.0771,0.0000,-0.0225,0.000,32.34,39.0,3,0
28089547,-20.830,-20.830,0.0000,0.1091,0.0000,0.0269,0.000,32.34,39.0,3,0
28090909,-20.830,-20.852,0.0000,-0.0664,0.0000,-0.0181,0.000,32.34,39.0,3,0
28091547,-20.830,-20.852,0.0000,0.0587,0.0000,0.0159,0.000,32.34,39.0,3,0
