t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
50790870,216.027,216.027,0.0000,0.0557,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50791865,216.027,216.027,0.0000,-0.0023,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50792868,216.027,216.027,0.0000,-0.0237,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50793866,216.027,216.027,0.0000,0.0008,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50795190,216.027,216.027,0.0000,0.0481,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50795861,216.027,216.027,0.0000,-0.0481,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50796866,216.027,216.027,0.0000,0.0160,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50797863,216.027,216.027,0.0000,0.0771,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50798864,216.027,216.027,0.0000,0.0298,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50800177,216.027,216.027,0.0000,-0.0252,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50800870,216.027,216.027,0.0000,-0.0572,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50801865,216.027,216.027,0.0000,0.1213,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50803171,216.027,216.027,0.0000,-0.0099,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50803544,216.027,216.027,0.0000,0.0282,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50804869,216.027,216.027,0.0000,-0.0572,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50805571,216.027,216.027,0.0000,0.0145,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50806888,216.027,216.027,0.0000,0.0908,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50807865,216.027,216.027,0.0000,-0.1610,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50808869,216.027,216.027,0.0000,0.0069,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50810181,216.027,216.027,0.0000,0.0038,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50810745,216.027,216.027,0.0000,0.1183,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50811871,216.027,216.027,0.0000,-0.0755,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50812854,216.027,216.027,0.0000,0.0404,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50813858,216.027,216.027,0.0000,0.0557,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50815182,216.027,216.027,0.0000,-0.0099,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50815723,216.027,216.027,0.0000,-0.1259,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50816870,216.027,216.027,0.0000,-0.1015,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50817851,216.027,216.027,0.0000,0.0694,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50818858,216.027,216.027,0.0000,-0.0374,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50820181,216.027,216.027,0.0000,0.0343,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50820730,216.027,216.027,0.0000,-0.1549,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50821870,216.027,216.027,0.0000,-0.0572,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50823166,216.027,216.027,0.0000,-0.0816,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50823857,216.027,216.027,0.0000,-0.0114,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50825181,216.027,216.027,0.0000,0.0084,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50825727,216.027,216.027,0.0000,0.0893,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50827287,216.027,216.027,0.0000,-0.0175,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50827853,216.027,216.027,0.0000,0.0328,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50828853,216.027,216.027,0.0000,0.0313,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50830166,216.027,216.027,0.0000,-0.0221,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50830853,216.027,216.027,0.0000,0.0603,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50831922,216.027,216.027,0.0000,0.1396,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50832863,216.027,216.027,0.0000,-0.0252,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50833862,216.027,216.027,0.0000,0.0526,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50835176,216.027,216.027,0.0000,0.0221,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50835869,216.027,216.027,0.0000,0.0252,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50836861,216.027,216.027,0.0000,0.0175,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50837862,216.027,216.027,0.0000,-0.0420,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50838861,216.027,216.027,0.0000,-0.1366,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50840175,216.027,216.027,0.0000,0.0664,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50840858,216.027,216.027,0.0000,-0.0679,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50841862,216.027,216.027,0.0000,-0.0145,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50843185,216.027,216.027,0.0000,0.0114,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50843556,216.027,216.027,0.0000,0.0542,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50844888,216.027,216.027,0.0000,0.0237,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50845868,216.027,216.027,0.0000,0.0008,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50847184,216.027,216.027,0.0000,-0.1244,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50847867,216.027,216.027,0.0000,0.0023,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50848861,216.027,216.027,0.0000,-0.1320,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50850187,216.027,216.027,0.0000,0.0389,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50850869,216.027,216.027,0.0000,-0.0237,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50851861,216.027,216.027,0.0000,-0.1076,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50852867,216.027,216.027,0.0000,-0.0481,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50853853,216.027,216.027,0.0000,0.0069,0.0000,-0.0005,0.000,32.44,45.0,1,2049
50855168,216.027,216.027,0.0000,0.0618,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50855852,216.027,216.027,0.0000,-0.0664,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50856861,216.027,216.027,0.0000,-0.0557,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50857863,216.027,216.027,0.0000,0.0206,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50858863,216.027,216.027,0.0000,0.0160,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50860173,216.027,216.027,0.0000,0.1045,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50860853,216.027,216.027,0.0000,0.0313,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50861851,216.027,216.027,0.0000,0.0755,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50863216,216.027,216.027,0.0000,-0.0282,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50863547,216.027,216.027,0.0000,-0.0435,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50864872,216.027,216.027,0.0000,0.0053,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50865546,216.027,216.027,0.0000,0.0542,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50866915,216.027,216.027,0.0000,0.0282,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50867851,216.027,216.027,0.0000,0.0130,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50868857,216.027,216.027,0.0000,0.0252,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50870166,216.027,216.027,0.0000,0.0435,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50870743,216.027,216.027,0.0000,0.0725,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50871870,216.027,216.027,0.0000,0.0404,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50872851,216.027,216.027,0.0000,-0.0084,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50873856,216.027,216.027,0.0000,-0.0130,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50875180,216.027,216.027,0.0000,-0.1076,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50875728,216.027,216.027,0.0000,0.0572,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50876950,216.027,216.027,0.0000,-0.0359,0.0000,-0.0005,0.000,32.41,45.0,1,2049
50877853,216.027,216.027,0.0000,0.0984,0.0000,-0.0005,0.000,32.41,45.0,1,2049
