t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
136376901,0.000,0.000,0.0000,-0.0618,0.0000,0.0269,0.000,32.34,40.0,3,0
136377574,0.000,0.000,0.0000,0.0008,0.0000,-0.0324,0.000,32.34,40.0,3,0
136378577,0.000,0.022,0.0000,0.0938,0.0000,0.0192,0.000,32.34,40.0,3,0
136379959,0.000,0.022,0.0000,-0.0359,0.0000,-0.0082,0.000,32.34,40.0,3,0
136380550,0.000,0.000,0.0000,0.0023,0.0000,0.0071,0.000,32.34,40.0,3,0
136381547,0.000,0.022,0.0000,-0.0282,0.0000,-0.0060,0.000,32.34,40.0,3,0
136382607,0.000,0.000,0.0000,-0.0389,0.0000,-0.0148,0.000,32.34,40.0,3,0
136383572,0.000,0.000,0.0000,-0.0755,0.0000,-0.0082,0.000,32.34,40.0,3,0
136384889,0.000,0.022,0.0000,0.1289,0.0000,0.0291,0.000,32.34,40.0,3,0
136385575,0.000,0.000,0.0000,-0.1060,0.0000,-0.0137,0.000,32.34,40.0,3,0
136386573,0.000,0.022,0.0000,0.0237,0.0000,-0.0071,0.000,32.34,40.0,3,0
136387571,0.000,0.022,0.0000,0.0587,0.0000,-0.0247,0.000,32.34,40.0,3,0
136388569,0.000,0.022,0.0000,-0.0587,0.0000,0.0093,0.000,32.34,40.0,3,0
136389889,0.000,0.022,0.0000,-0.0282,0.0000,-0.0027,0.000,32.34,40.0,3,0
136390575,0.000,0.000,0.0000,-0.0099,0.0000,-0.0170,0.000,32.34,40.0,3,0
136391580,0.000,0.022,0.0000,0.0648,0.0000,0.0038,0.000,32.34,40.0,3,0
136392860,0.000,0.022,0.0000,-0.0237,0.0000,-0.0148,0.000,32.34,40.0,3,0
136393591,0.000,0.022,0.0000,-0.0221,0.0000,-0.0082,0.000,32.34,40.0,3,0
136394914,0.000,0.000,0.0000,-0.0572,0.0000,-0.0093,0.000,32.34,40.0,3,0
136395598,0.000,0.022,0.0000,-0.0023,0.0000,0.0368,0.000,32.34,40.0,3,0
136396919,0.000,0.022,0.0000,0.0450,0.0000,0.0159,0.000,32.34,40.0,3,0
136397547,0.000,0.022,0.0000,-0.0542,0.0000,0.0170,0.000,32.34,40.0,3,0
136398542,0.000,0.022,0.0000,-0.0786,0.0000,-0.0181,0.000,32.34,40.0,3,0
136399873,0.000,0.022,0.0000,-0.1503,0.0000,0.0203,0.000,32.34,40.0,3,0
136400559,0.000,0.022,0.0000,0.0374,0.0000,0.0368,0.000,32.34,40.0,3,0
136401547,0.000,0.022,0.0000,-0.0633,0.0000,0.0214,0.000,32.34,40.0,3,0
136402601,0.000,0.022,0.0000,-0.0237,0.0000,0.0093,0.000,32.34,40.0,3,0
136403542,0.000,0.022,0.0000,0.1045,0.0000,-0.0170,0.000,32.34,40.0,3,0
136404887,0.000,0.000,0.0000,-0.0252,0.0000,0.0291,0.000,32.34,40.0,3,0
136405542,0.000,0.000,0.0000,-0.0023,0.0000,0.0401,0.000,32.34,40.0,3,0
136406606,0.000,0.022,0.0000,0.0755,0.0000,0.0071,0.000,32.34,40.0,3,0
136407542,0.000,0.000,0.0000,-0.0450,0.0000,-0.0049,0.000,32.34,40.0,3,0
136408559,0.000,0.022,0.0000,-0.0557,0.0000,-0.0038,0.000,32.34,40.0,3,0
136409869,0.000,0.022,0.0000,0.0084,0.0000,-0.0027,0.000,32.34,40.0,3,0
136410536,0.000,0.022,0.0000,0.0008,0.0000,-0.0214,0.000,32.34,40.0,3,0
136411585,0.000,0.000,0.0000,-0.0603,0.0000,0.0115,0.000,32.34,40.0,3,0
136412861,0.000,0.022,0.0000,-0.0359,0.0000,-0.0181,0.000,32.34,40.0,3,0
136413561,0.000,0.022,0.0000,0.0282,0.0000,0.0214,0.000,32.34,40.0,3,0
136414869,0.000,0.022,0.0000,0.0359,0.0000,0.0137,0.000,32.34,40.0,3,0
136415630,0.000,0.000,0.0000,0.0862,0.0000,-0.0016,0.000,32.34,40.0,3,0
136416916,0.000,0.000,0.0000,-0.0740,0.0000,0.0082,0.000,32.34,40.0,3,0
136417546,0.000,0.000,0.0000,0.0847,0.0000,0.0148,0.000,32.34,40.0,3,0
136418606,0.000,0.022,0.0000,0.0572,0.0000,0.0115,0.000,32.34,40.0,3,0
136419896,0.000,0.022,0.0000,-0.0160,0.0000,-0.0137,0.000,32.34,40.0,3,0
136420571,0.000,0.000,0.0000,-0.1167,0.0000,0.0225,0.000,32.34,40.0,3,0
136421573,0.000,0.000,0.0000,-0.0572,0.0000,0.0049,0.000,32.34,40.0,3,0
136422568,0.000,0.022,0.0000,-0.0771,0.0000,-0.0005,0.000,32.34,40.0,3,0
136423568,0.000,0.022,0.0000,-0.0237,0.0000,-0.0357,0.000,32.34,40.0,3,0
136424889,0.000,0.022,0.0000,0.0084,0.0000,0.0291,0.000,32.34,40.0,3,0
136425572,0.000,0.022,0.0000,-0.0542,0.0000,-0.0346,0.000,32.34,40.0,3,0
136426573,0.000,0.022,0.0000,0.0725,0.0000,0.0489,0.000,32.34,40.0,3,0
136427580,0.000,0.000,0.0000,-0.0710,0.0000,-0.0005,0.000,32.34,40.0,3,0
136428546,0.000,0.022,0.0000,0.1045,0.0000,-0.0082,0.000,32.34,40.0,3,0
136429869,0.000,0.000,0.0000,-0.0587,0.0000,0.0060,0.000,32.34,40.0,3,0
136430591,0.000,0.000,0.0000,0.0420,0.0000,-0.0203,0.000,32.34,40.0,3,0
136431599,0.000,0.000,0.0000,-0.1183,0.0000,-0.0093,0.000,32.34,40.0,3,0
136432912,0.000,0.022,0.0000,0.0740,0.0000,-0.0126,0.000,32.34,40.0,3,0
136433563,0.000,0.022,0.0000,0.0221,0.0000,0.0203,0.000,32.34,40.0,3,0
136434869,0.000,0.000,0.0000,0.0633,0.0000,0.0324,0.000,32.34,40.0,3,0
136435639,0.000,0.000,0.0000,-0.0618,0.0000,0.0093,0.000,32.34,40.0,3,0
136436902,0.000,0.000,0.0000,0.0343,0.0000,-0.0236,0.000,32.34,40.0,3,0
