t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
584533877,-0.011,-0.011,0.0000,-0.0099,0.0000,-0.0005,0.000,32.31,43.0,1,1
584534870,-0.011,-0.011,0.0000,0.0435,0.0000,-0.0005,0.000,32.31,43.0,1,1
584535896,-0.011,-0.011,0.0000,-0.1274,0.0000,-0.0005,0.000,32.31,43.0,1,1
584537195,-0.011,-0.011,0.0000,0.0099,0.0000,-0.0005,0.000,32.31,43.0,1,1
584537870,-0.011,-0.011,0.0000,-0.0328,0.0000,-0.0005,0.000,32.31,43.0,1,1
584538870,-0.011,-0.011,0.0000,-0.0328,0.0000,-0.0005,0.000,32.31,43.0,1,1
584540133,-0.011,-0.011,0.0000,-0.0023,0.0000,-0.0005,0.000,32.31,43.0,1,1
584540594,-0.011,-0.011,0.0000,-0.1076,0.0000,-0.0005,0.000,32.31,43.0,1,1
584541941,-0.011,-0.011,0.0000,0.1091,0.0000,-0.0005,0.000,32.31,43.0,1,1
584542548,-0.011,-0.011,0.0000,-0.1213,0.0000,-0.0005,0.000,32.31,43.0,1,1
584543860,-0.011,-0.011,0.0000,0.1427,0.0000,-0.0005,0.000,32.31,43.0,1,1
584544603,-0.011,-0.011,0.0000,-0.0038,0.0000,-0.0005,0.000,32.31,43.0,1,1
584545572,-0.011,-0.011,0.0000,-0.0618,0.0000,-0.0005,0.000,32.31,43.0,1,1
584546884,-0.011,-0.011,0.0000,-0.0725,0.0000,-0.0005,0.000,32.31,43.0,1,1
584547570,-0.011,-0.011,0.0000,0.0404,0.0000,-0.0005,0.000,32.31,43.0,1,1
584548571,-0.011,-0.011,0.0000,0.0435,0.0000,-0.0005,0.000,32.31,43.0,1,1
584549565,-0.011,-0.011,0.0000,0.0755,0.0000,-0.0005,0.000,32.31,43.0,1,1
584550566,-0.011,-0.011,0.0000,-0.0359,0.0000,-0.0005,0.000,32.31,43.0,1,1
584551884,-0.011,-0.011,0.0000,-0.0313,0.0000,-0.0005,0.000,32.31,43.0,1,1
584552569,-0.011,-0.011,0.0000,-0.0984,0.0000,-0.0005,0.000,32.31,43.0,1,1
584553571,-0.011,-0.011,0.0000,0.0069,0.0000,-0.0005,0.000,32.31,43.0,1,1
584554566,-0.011,-0.011,0.0000,0.0237,0.0000,-0.0005,0.000,32.31,43.0,1,1
584555565,-0.011,-0.011,0.0000,-0.0069,0.0000,-0.0005,0.000,32.31,43.0,1,1
584556884,-0.011,-0.011,0.0000,-0.0420,0.0000,-0.0005,0.000,32.31,43.0,1,1
584557570,-0.011,-0.011,0.0000,0.1137,0.0000,-0.0005,0.000,32.31,43.0,1,1
584558576,-0.011,-0.011,0.0000,0.0496,0.0000,-0.0005,0.000,32.31,43.0,1,1
584559859,-0.011,-0.011,0.0000,-0.0893,0.0000,-0.0005,0.000,32.31,43.0,1,1
584560543,-0.011,-0.011,0.0000,-0.0679,0.0000,-0.0005,0.000,32.31,43.0,1,1
584561882,-0.011,-0.011,0.0000,-0.0420,0.0000,-0.0005,0.000,32.31,43.0,1,1
584562569,-0.011,-0.011,0.0000,-0.0633,0.0000,-0.0005,0.000,32.31,43.0,1,1
584563884,-0.011,-0.011,0.0000,0.0252,0.0000,-0.0005,0.000,32.31,43.0,1,1
584564573,-0.011,-0.011,0.0000,-0.0130,0.0000,-0.0005,0.000,32.31,43.0,1,1
584565547,-0.011,-0.011,0.0000,-0.0252,0.0000,-0.0005,0.000,32.31,43.0,1,1
584566870,-0.011,-0.011,0.0000,0.0816,0.0000,-0.0005,0.000,32.31,43.0,1,1
584567870,-0.011,-0.011,0.0000,-0.1869,0.0000,-0.0005,0.000,32.31,43.0,1,1
584568867,-0.011,-0.011,0.0000,0.1106,0.0000,-0.0005,0.000,32.31,43.0,1,1
584569941,-0.011,-0.011,0.0000,-0.0206,0.0000,-0.0005,0.000,32.31,43.0,1,1
584570871,-0.011,-0.011,0.0000,0.1808,0.0000,-0.0005,0.000,32.31,43.0,1,1
584572134,-0.011,-0.011,0.0000,-0.0191,0.0000,-0.0005,0.000,32.34,43.0,1,1
584572746,-0.011,-0.011,0.0000,-0.0359,0.0000,-0.0005,0.000,32.34,43.0,1,1
584573870,-0.011,-0.011,0.0000,-0.0038,0.0000,-0.0005,0.000,32.34,43.0,1,1
584574875,-0.011,-0.011,0.0000,-0.0542,0.0000,-0.0005,0.000,32.34,43.0,1,1
584575867,-0.011,-0.011,0.0000,0.0862,0.0000,-0.0005,0.000,32.34,43.0,1,1
584577223,-0.011,-0.011,0.0000,-0.0740,0.0000,-0.0005,0.000,32.34,43.0,1,1
584577867,-0.011,-0.011,0.0000,0.1473,0.0000,-0.0005,0.000,32.34,43.0,1,1
584578914,-0.011,-0.011,0.0000,-0.0328,0.0000,-0.0005,0.000,32.34,43.0,1,1
584580191,-0.011,-0.011,0.0000,-0.0511,0.0000,-0.0005,0.000,32.34,43.0,1,1
584580438,-0.011,-0.011,0.0000,-0.0328,0.0000,-0.0005,0.000,32.34,43.0,1,1
584581894,-0.011,-0.011,0.0000,0.0359,0.0000,-0.0005,0.000,32.34,43.0,1,1
584582545,-0.011,-0.011,0.0000,0.0710,0.0000,-0.0005,0.000,32.34,43.0,1,1
584583872,-0.011,-0.011,0.0000,-0.0603,0.0000,-0.0005,0.000,32.34,43.0,1,1
584584545,-0.011,-0.011,0.0000,-0.0084,0.0000,-0.0005,0.000,32.34,43.0,1,1
584585591,-0.011,-0.011,0.0000,0.0542,0.0000,-0.0005,0.000,32.34,43.0,1,1
584586866,-0.011,-0.011,0.0000,0.1427,0.0000,-0.0005,0.000,32.34,43.0,1,1
584587555,-0.011,-0.011,0.0000,-0.0481,0.0000,-0.0005,0.000,32.34,43.0,1,1
584588547,-0.011,-0.011,0.0000,-0.0618,0.0000,-0.0005,0.000,32.34,43.0,1,1
584589636,-0.011,-0.011,0.0000,0.0755,0.0000,-0.0005,0.000,32.34,43.0,1,1
584590543,-0.011,-0.011,0.0000,-0.1106,0.0000,-0.0005,0.000,32.34,43.0,1,1
584591962,-0.011,-0.011,0.0000,0.0435,0.0000,-0.0005,0.000,32.34,43.0,1,1
584592548,-0.011,-0.011,0.0000,0.0008,0.0000,-0.0005,0.000,32.34,43.0,1,1
584593547,-0.011,-0.011,0.0000,-0.1625,0.0000,-0.0005,0.000,32.34,43.0,1,1
584594601,-0.011,-0.011,0.0000,-0.0053,0.0000,-0.0005,0.000,32.34,43.0,1,1
584595566,-0.011,-0.011,0.0000,0.0481,0.0000,-0.0005,0.000,32.34,43.0,1,1
584596882,-0.011,-0.011,0.0000,0.0587,0.0000,-0.0005,0.000,32.34,43.0,1,1
584597571,-0.011,-0.011,0.0000,-0.1732,0.0000,-0.0005,0.000,32.34,43.0,1,1
584598571,-0.011,-0.011,0.0000,-0.0221,0.0000,-0.0005,0.000,32.34,43.0,1,1
584599880,-0.011,-0.011,0.0000,-0.0755,0.0000,-0.0005,0.000,32.34,43.0,1,1
584600567,-0.011,-0.011,0.0000,-0.0725,0.0000,-0.0005,0.000,32.34,43.0,1,1
584601880,-0.011,-0.011,0.0000,-0.0526,0.0000,-0.0005,0.000,32.34,43.0,1,1
584602571,-0.011,-0.011,0.0000,0.0175,0.0000,-0.0005,0.000,32.34,43.0,1,1
584603887,-0.011,-0.011,0.0000,-0.1259,0.0000,-0.0005,0.000,32.34,43.0,1,1
584604569,-0.011,-0.011,0.0000,0.0740,0.0000,-0.0005,0.000,32.34,43.0,1,1
584605571,-0.011,-0.011,0.0000,-0.0191,0.0000,-0.0005,0.000,32.34,43.0,1,1
584606881,-0.011,-0.011,0.0000,-0.0710,0.0000,-0.0005,0.000,32.34,43.0,1,1
584607571,-0.011,-0.011,0.0000,0.1060,0.0000,-0.0005,0.000,32.34,43.0,1,1
584608576,-0.011,-0.011,0.0000,0.0252,0.0000,-0.0005,0.000,32.34,43.0,1,1
584609544,-0.011,-0.011,0.0000,0.0114,0.0000,-0.0005,0.000,32.34,43.0,1,1
584610567,-0.011,-0.011,0.0000,0.0206,0.0000,-0.0005,0.000,32.34,43.0,1,1
584611881,-0.011,-0.011,0.0000,0.0175,0.0000,-0.0005,0.000,32.34,43.0,1,1
584612570,-0.011,-0.011,0.0000,0.0420,0.0000,-0.0005,0.000,32.34,43.0,1,1
584613576,-0.011,-0.011,0.0000,-0.0160,0.0000,-0.0005,0.000,32.34,43.0,1,1
584614542,-0.011,-0.011,0.0000,-0.0298,0.0000,-0.0005,0.000,32.34,43.0,1,1
584615545,-0.011,-0.011,0.0000,0.0740,0.0000,-0.0005,0.000,32.34,43.0,1,1
584616866,-0.011,-0.011,0.0000,0.0099,0.0000,-0.0005,0.000,32.34,43.0,1,1
584617543,-0.011,-0.011,0.0000,0.0313,0.0000,-0.0005,0.000,32.34,43.0,1,1
584618624,-0.011,-0.011,0.0000,0.1488,0.0000,-0.0005,0.000,32.34,43.0,1,1
584619859,-0.011,-0.011,0.0000,-0.0237,0.0000,-0.0005,0.000,32.34,43.0,1,1
584620514,-0.011,-0.011,0.0000,0.0053,0.0000,-0.0005,0.000,32.34,43.0,1,1
584621897,-0.011,-0.011,0.0000,0.0755,0.0000,-0.0005,0.000,32.34,43.0,1,1
584622546,-0.011,-0.011,0.0000,-0.1106,0.0000,-0.0005,0.000,32.34,43.0,1,1
584623870,-0.011,-0.011,0.0000,0.1305,0.0000,-0.0005,0.000,32.34,43.0,1,1
584624545,-0.011,-0.011,0.0000,0.0221,0.0000,-0.0005,0.000,32.34,43.0,1,1
584625589,-0.011,-0.011,0.0000,-0.0694,0.0000,-0.0005,0.000,32.34,43.0,1,1
584626868,-0.011,-0.011,0.0000,-0.0099,0.0000,-0.0005,0.000,32.34,43.0,1,1
584627555,-0.011,-0.011,0.0000,0.1167,0.0000,-0.0005,0.000,32.34,43.0,1,1
584628547,-0.011,-0.011,0.0000,0.0816,0.0000,-0.0005,0.000,32.34,43.0,1,1
584629635,-0.011,-0.011,0.0000,-0.1106,0.0000,-0.0005,0.000,32.34,43.0,1,1
584630543,-0.011,-0.011,0.0000,0.0404,0.0000,-0.0005,0.000,32.34,43.0,1,1
584631873,-0.011,-0.011,0.0000,0.0237,0.0000,-0.0005,0.000,32.34,43.0,1,1
584632543,-0.011,-0.011,0.0000,-0.0343,0.0000,-0.0005,0.000,32.34,43.0,1,1
584633597,-0.011,-0.011,0.0000,-0.0160,0.0000,-0.0005,0.000,32.34,43.0,1,1
584634542,-0.011,-0.011,0.0000,0.0175,0.0000,-0.0005,0.000,32.34,43.0,1,1
584635549,-0.011,-0.011,0.0000,-0.0465,0.0000,-0.0005,0.000,32.34,43.0,1,1
584636865,-0.011,-0.011,0.0000,0.0755,0.0000,-0.0005,0.000,32.34,43.0,1,1
