t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
169957577,199.948,207.667,0.0000,-6.6964,0.0000,1.8748,0.000,37.24,41.0,3,2064
169958579,200.000,207.293,0.9000,-6.5957,0.0000,-4.0831,0.000,37.24,41.0,3,2064
169959924,200.000,206.876,0.0000,-7.3877,0.0000,1.5288,0.000,37.24,41.0,3,2064
169960898,199.948,206.151,-0.9000,-6.2249,-15.4366,1.9825,0.000,37.24,41.0,3,2064
169961877,199.948,205.777,0.0000,-6.3485,0.0000,-4.0359,0.000,37.24,41.0,3,2064
169962872,200.000,205.403,0.9000,-6.6903,0.0000,1.6298,0.000,37.24,41.0,3,2064
169963909,200.000,205.030,0.0000,-6.3912,0.0000,2.3901,0.000,37.24,41.0,3,2064
169965217,199.948,204.678,-0.9000,-6.0281,-15.4366,1.7968,0.000,37.24,41.0,3,2064
169965887,199.948,204.349,0.0000,-5.9091,0.0000,-4.1469,0.000,37.24,41.0,3,2064
169966890,200.000,203.975,0.9000,-6.3775,0.0000,1.7507,0.000,37.24,41.0,3,2064
169968209,200.000,203.646,0.0000,-6.0296,0.0000,2.6351,0.000,37.24,41.0,3,2064
169968576,199.948,203.514,-0.9000,-5.8862,-15.4366,2.4890,0.000,37.24,41.0,3,2064
169969893,199.948,203.316,0.0000,-5.6924,0.0000,1.9979,0.000,37.24,41.0,3,2064
169970576,200.000,202.987,0.9000,-5.6436,0.0000,-4.0392,0.000,37.24,41.0,3,2064
169971898,200.000,202.635,0.0000,-6.1318,0.0000,1.5529,0.000,37.24,41.0,3,2064
169972575,199.948,202.305,-0.9000,-5.7733,-15.4366,2.5241,0.000,37.24,41.0,3,2064
169973581,199.948,202.020,0.0000,-5.3353,0.0000,1.8606,0.000,37.24,41.0,3,2064
169974895,200.000,201.712,0.9000,-5.2316,0.0000,-4.1007,0.000,37.24,41.0,3,2064
169975574,200.000,201.383,0.0000,-5.8862,0.0000,1.5255,0.000,37.24,41.0,3,2064
169976580,199.948,201.075,-0.9000,-5.2941,-15.4366,2.8493,0.000,37.24,41.0,3,2064
169977576,199.948,200.811,0.0000,-4.9249,0.0000,1.9023,0.000,37.24,41.0,3,2064
169978576,200.000,200.504,0.9000,-4.9706,0.0000,-4.1073,0.000,37.24,41.0,3,2064
169979893,200.000,200.196,0.0000,-5.5016,0.0000,1.7496,0.000,37.24,41.0,3,2064
169980576,199.948,199.910,-0.9000,-4.9844,-15.4366,2.5406,0.000,37.24,41.0,3,2064
169981578,199.948,199.647,0.0000,-4.6151,0.0000,1.9155,0.000,37.24,41.0,3,2064
