t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
124253922,141.660,141.660,0.0000,0.0267,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124254575,141.660,141.660,0.0000,0.0221,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124255891,141.660,141.660,0.0000,-0.0267,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124256577,141.660,141.660,0.0000,0.0359,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124257895,141.660,141.660,0.0000,-0.1060,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124258577,141.660,141.682,0.0000,0.1335,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124259576,141.682,141.660,0.0000,0.0298,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124260889,141.660,141.660,0.0000,-0.0023,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124261578,141.660,141.682,0.0000,0.0191,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124262589,141.682,141.660,0.0000,-0.0023,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124263549,141.660,141.682,0.0000,0.2235,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124264545,141.682,141.660,0.0000,-0.1320,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124265907,141.660,141.660,0.0000,-0.0298,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124266889,141.660,141.660,0.0000,0.0618,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124267886,141.660,141.660,0.0000,-0.0114,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124268889,141.660,141.660,0.0000,0.0282,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124269855,141.660,141.682,0.0000,0.0999,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124271291,141.682,141.660,0.0000,-0.0557,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124271718,141.660,141.660,0.0000,0.0069,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124272877,141.660,141.660,0.0000,0.0191,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124274179,141.660,141.660,0.0000,0.0191,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124274438,141.660,141.660,0.0000,0.0008,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124275893,141.660,141.660,0.0000,-0.0374,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124276550,141.660,141.660,0.0000,-0.0603,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124277884,141.660,141.660,0.0000,-0.0206,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124278550,141.660,141.682,0.0000,0.1274,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124279598,141.682,141.660,0.0000,0.0053,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124280874,141.660,141.660,0.0000,0.0679,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124281551,141.660,141.660,0.0000,0.0710,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124282554,141.660,141.660,0.0000,-0.0496,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124283546,141.660,141.660,0.0000,-0.0267,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124284601,141.660,141.660,0.0000,-0.0465,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124285876,141.660,141.660,0.0000,-0.0313,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124286562,141.660,141.660,0.0000,0.0999,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124287551,141.660,141.660,0.0000,-0.0160,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124288590,141.660,141.660,0.0000,0.0832,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
124289547,141.660,141.660,0.0000,-0.0313,-0.0000,-0.0005,0.000,32.38,39.0,6,3073
