t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
62975898,199.948,213.676,-0.9000,-0.1640,-15.4366,7.3055,-5.366,33.25,45.0,3,0
62976587,199.948,213.742,0.0000,0.8110,15.2940,-1.3145,-5.366,33.25,45.0,3,0
62977635,200.000,213.720,0.9000,0.0847,15.4366,-10.6838,-5.366,33.25,45.0,3,0
62978552,200.000,213.654,0.0000,-1.0704,0.0000,5.2477,-5.366,33.25,45.0,3,0
62979547,199.948,213.654,-0.9000,-0.2525,-15.4366,7.5087,-5.366,33.25,45.0,3,0
62980925,199.948,213.698,0.0000,0.7179,15.2940,-1.4211,-5.366,33.25,45.0,3,0
62981577,200.000,213.698,0.9000,0.0801,15.4366,-10.4696,-5.366,33.25,45.0,3,0
62982580,200.000,213.632,0.0000,-1.2001,0.0000,5.1829,-5.366,33.25,45.0,3,0
62983888,199.948,213.610,-0.9000,-0.2785,-15.4366,7.3274,-5.366,33.25,45.0,3,0
62984577,199.948,213.676,0.0000,0.7378,15.2940,-1.1893,-5.366,33.25,45.0,3,0
62985890,200.000,213.698,0.9000,0.7774,15.4366,-2.3572,-5.366,33.25,45.0,3,0
62986905,200.000,213.588,0.0000,-0.2007,0.0000,7.2264,-5.366,33.25,45.0,3,0
62988184,199.948,213.654,-0.9000,0.6432,-15.4366,-1.1399,-5.366,33.25,45.0,3,0
62988906,199.948,213.654,0.0000,0.1991,15.2940,-10.4465,-5.366,33.25,45.0,3,0
62989862,200.000,213.566,0.9000,-1.1650,15.4366,4.5830,-5.366,33.25,45.0,3,0
62991229,200.000,213.566,0.0000,-0.1640,0.0000,7.3143,-5.366,33.25,45.0,3,0
62991852,199.948,213.610,-0.9000,0.7103,-15.4366,-1.3200,-5.366,33.25,45.0,3,0
62992864,199.948,213.610,0.0000,0.0679,15.2940,-10.1103,-5.366,33.25,45.0,3,0
62993901,200.000,213.544,0.9000,-1.1650,15.4366,5.0488,-5.366,33.25,45.0,3,0
62994901,200.000,213.544,0.0000,-0.1473,0.0000,7.0539,-5.366,33.25,45.0,3,0
62996226,199.948,213.588,-0.9000,0.8064,-15.4366,-1.3101,-5.366,33.25,45.0,3,0
62996904,199.948,213.588,0.0000,0.1198,15.2940,-10.3531,-5.366,33.25,45.0,3,0
62997901,200.000,213.522,0.9000,-1.1177,15.4366,4.6237,-5.366,33.25,45.0,3,0
62998903,200.000,213.522,0.0000,-0.1717,0.0000,7.2385,-5.366,33.25,45.0,3,0
62999898,199.948,213.566,-0.9000,0.6508,-15.4366,-1.3024,-5.366,33.25,45.0,3,0
63001185,199.948,213.566,0.0000,0.2144,15.2940,-10.0455,-5.366,33.25,45.0,3,0
63001847,200.000,213.501,0.9000,-1.1055,15.4366,5.0807,-5.366,33.25,45.0,3,0
63002849,200.000,213.501,0.0000,-0.1167,0.0000,7.0330,-5.366,33.25,45.0,3,0
63004169,199.948,213.544,-0.9000,0.6340,-15.4366,-1.3266,-5.366,33.25,45.0,3,0
63004569,199.948,213.544,0.0000,0.5852,15.2940,-3.8304,-5.366,33.25,45.0,3,0
63005883,200.000,213.544,0.9000,0.2098,15.4366,-10.0235,-5.366,33.25,45.0,3,0
63006573,200.000,213.479,0.0000,-1.0918,0.0000,4.9412,-5.366,33.25,45.0,3,0
63007889,199.948,213.479,-0.9000,-0.1381,-15.4366,7.0484,-5.366,33.25,45.0,3,0
63008901,199.948,213.522,0.0000,0.2190,15.2940,-10.0158,-5.366,33.25,45.0,3,0
63009850,200.000,213.457,0.9000,-0.9621,15.4366,4.9379,-5.366,33.25,45.0,3,0
63011276,200.000,213.479,0.0000,-0.0282,0.0000,6.9374,-5.366,31.26,45.0,3,0
63011919,199.948,213.544,-0.9000,0.8858,-15.4366,-1.3255,-5.366,31.26,45.0,3,0
