t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
210170907,200.000,169.016,0.0000,19.0791,0.0000,-8.4667,0.000,32.24,40.0,3,2048
210171599,200.000,170.049,0.0000,18.0110,0.0000,-7.7054,0.000,32.24,40.0,3,2048
210172547,200.000,171.016,0.0000,17.1977,0.0000,-7.2176,0.000,32.24,40.0,3,2048
210173998,200.000,171.917,0.0000,16.6300,0.0000,-6.7309,0.000,32.24,40.0,3,2048
210174610,200.000,172.906,0.0000,15.7572,0.0000,-6.1003,0.000,32.24,40.0,3,2048
210175867,200.000,173.037,0.0000,15.6596,0.0000,-5.9695,0.000,32.24,40.0,3,2048
210176541,200.000,174.510,0.0000,14.6540,0.0000,-5.3620,0.000,32.24,40.0,3,2048
210177870,200.000,175.323,0.0000,14.0909,0.0000,-5.0895,0.000,32.24,40.0,3,2048
210178607,200.000,176.092,0.0000,13.5859,0.0000,-4.5643,0.000,32.24,40.0,3,2048
210179644,200.000,176.861,0.0000,13.0762,0.0000,-4.2545,0.000,32.24,40.0,3,2048
210180885,200.000,177.586,0.0000,12.5559,0.0000,-4.0095,0.000,32.24,40.0,3,2048
210181570,200.000,178.267,0.0000,12.0798,0.0000,-3.6470,0.000,32.24,40.0,3,2048
210182603,200.000,178.926,0.0000,11.6983,0.0000,-3.3415,0.000,32.24,40.0,3,2048
210183565,200.000,179.585,0.0000,11.2604,0.0000,-3.1075,0.000,32.24,40.0,3,2048
210184564,200.000,180.179,0.0000,10.7050,0.0000,-2.8977,0.000,32.24,40.0,3,2048
210185940,200.000,180.794,0.0000,10.4807,0.0000,-2.9416,0.000,32.24,40.0,3,2048
210186551,200.000,181.365,0.0000,10.1556,0.0000,-2.5230,0.000,32.24,40.0,3,2048
210187546,200.000,181.893,0.0000,9.7757,0.0000,-2.4363,0.000,32.24,40.0,3,2048
210188541,200.000,182.442,0.0000,9.5270,0.0000,-2.2440,0.000,32.24,40.0,3,2048
210189545,200.000,182.969,0.0000,9.2081,0.0000,-2.1528,0.000,32.24,40.0,3,2048
210190920,200.000,183.475,0.0000,8.8479,0.0000,-2.2143,0.000,32.24,40.0,3,2048
210191610,200.000,183.980,0.0000,8.5824,0.0000,-2.1231,0.000,32.24,40.0,3,2048
210192575,200.000,184.463,0.0000,8.5672,0.0000,-2.0221,0.000,32.24,40.0,3,2048
210193880,200.000,184.925,0.0000,8.0346,0.0000,-1.9430,0.000,32.24,40.0,3,2048
210194570,200.000,185.364,0.0000,7.9095,0.0000,-1.8452,0.000,32.24,40.0,3,2048
210195947,200.000,185.430,0.0000,7.8363,0.0000,-1.9056,0.000,32.24,40.0,3,2048
210196552,200.000,186.221,0.0000,7.2930,0.0000,-1.9133,0.000,32.24,40.0,3,2048
