t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
91455189,212.611,212.611,0.0000,-0.0694,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91455865,212.611,212.611,0.0000,-0.0679,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91456864,212.611,212.611,0.0000,0.0206,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91457864,212.611,212.611,0.0000,-0.0420,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91458862,212.611,212.611,0.0000,0.0587,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91460192,212.611,212.611,0.0000,0.0008,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91460860,212.611,212.611,0.0000,-0.0420,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91461865,212.611,212.611,0.0000,0.0450,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91463182,212.611,212.611,0.0000,0.0603,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91463565,212.611,212.611,0.0000,0.0313,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91464883,212.611,212.611,0.0000,-0.0099,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91465866,212.611,212.611,0.0000,0.1244,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91467180,212.611,212.611,0.0000,-0.0404,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91467853,212.611,212.611,0.0000,-0.0008,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91468852,212.611,212.611,0.0000,-0.1274,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91470176,212.611,212.633,0.0000,0.1060,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91470867,212.633,212.633,0.0000,0.0496,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91471862,212.633,212.611,0.0000,-0.0511,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91472863,212.611,212.611,0.0000,0.1137,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91473866,212.611,212.611,0.0000,-0.0328,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91475182,212.611,212.611,0.0000,-0.0130,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91475940,212.611,212.611,0.0000,-0.0954,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91476795,212.611,212.611,0.0000,0.0771,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91477877,212.611,212.611,0.0000,0.0877,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91478852,212.611,212.611,0.0000,-0.0984,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91480192,212.611,212.611,0.0000,-0.0481,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91480852,212.611,212.611,0.0000,0.0282,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91481881,212.611,212.611,0.0000,-0.0893,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91483178,212.611,212.611,0.0000,0.0298,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91483549,212.611,212.633,0.0000,0.0221,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91484868,212.633,212.611,0.0000,0.0664,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91485586,212.611,212.611,0.0000,-0.0145,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91486872,212.611,212.611,0.0000,-0.0084,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91487488,212.611,212.633,0.0000,0.0710,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91488548,212.633,212.611,0.0000,-0.0679,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91489867,212.611,212.611,0.0000,0.0114,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91490592,212.611,212.611,0.0000,-0.0175,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91491547,212.611,212.633,0.0000,0.0954,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91492640,212.633,212.611,0.0000,0.0175,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91493543,212.611,212.611,0.0000,-0.0023,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91494902,212.611,212.611,0.0000,-0.0298,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91495880,212.611,212.633,0.0000,0.0694,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91496862,212.633,212.611,0.0000,0.0404,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91497863,212.611,212.611,0.0000,0.0984,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91498862,212.611,212.611,0.0000,-0.0526,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91500188,212.611,212.611,0.0000,0.0267,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91500869,212.611,212.633,0.0000,0.0587,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91501864,212.633,212.633,0.0000,-0.0465,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91503186,212.633,212.611,0.0000,-0.0282,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91503567,212.611,212.633,0.0000,0.0633,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91504883,212.633,212.611,0.0000,-0.1060,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91505868,212.611,212.611,0.0000,-0.0816,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91507187,212.611,212.611,0.0000,0.0999,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91507868,212.611,212.611,0.0000,-0.0664,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91508867,212.611,212.611,0.0000,0.0435,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91510190,212.611,212.633,0.0000,0.0816,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91510869,212.633,212.633,0.0000,0.0038,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91511862,212.633,212.633,0.0000,-0.0145,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91512864,212.633,212.611,0.0000,0.0023,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91513865,212.611,212.633,0.0000,-0.0160,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91515187,212.633,212.633,0.0000,-0.0359,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91515869,212.633,212.611,0.0000,-0.0114,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91516868,212.611,212.611,0.0000,-0.1137,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91517853,212.611,212.611,0.0000,0.0465,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91518852,212.611,212.611,0.0000,-0.0237,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91520183,212.611,212.611,0.0000,-0.0282,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91520867,212.611,212.611,0.0000,-0.0450,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91521862,212.611,212.611,0.0000,-0.1228,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91523181,212.611,212.611,0.0000,0.0801,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91523567,212.611,212.633,0.0000,0.0954,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91524885,212.633,212.611,0.0000,-0.0404,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91525852,212.611,212.611,0.0000,-0.0267,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91527237,212.611,212.611,0.0000,-0.0481,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91527764,212.611,212.611,0.0000,-0.0526,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91528870,212.611,212.611,0.0000,-0.0114,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91530179,212.611,212.611,0.0000,0.0389,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91530731,212.611,212.611,0.0000,-0.0175,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91531870,212.611,212.611,0.0000,0.0618,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91532851,212.611,212.611,0.0000,-0.0130,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91533854,212.611,212.611,0.0000,-0.0053,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91535179,212.611,212.611,0.0000,-0.0694,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91535732,212.611,212.611,0.0000,0.0557,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91536870,212.611,212.633,0.0000,-0.0572,0.0000,-0.0005,0.000,32.44,35.0,1,2049
91537854,212.633,212.611,0.0000,0.0191,0.0000,-0.0005,0.000,32.44,35.0,1,2049
