t_us,p_cmd,p_act,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
69284588,-0.132,-0.132,0.0000,-0.0038,0.0000,-0.0203,0.000,32.41,32.0,3,2048
69285587,-0.132,-0.132,0.0000,0.0999,0.0000,0.0302,0.000,32.41,32.0,3,2048
69286582,-0.132,-0.132,0.0000,-0.0755,0.0000,-0.0302,0.000,32.41,32.0,3,2048
69287583,-0.132,-0.132,0.0000,0.0618,0.0000,-0.0071,0.000,32.41,32.0,3,2048
69288915,-0.132,-0.132,0.0000,0.1656,0.0000,0.0478,0.000,32.41,32.0,3,2048
69289557,-0.132,-0.132,0.0000,0.0221,0.0000,-0.0038,0.000,32.41,32.0,3,2048
69290560,-0.132,-0.132,0.0000,0.0359,0.0000,0.0016,0.000,32.41,32.0,3,2048
69291923,-0.132,-0.132,0.0000,0.0664,0.0000,-0.0016,0.000,32.41,32.0,3,2048
69292606,-0.132,-0.132,0.0000,-0.0053,0.0000,0.0148,0.000,32.41,32.0,3,2048
69293923,-0.132,-0.132,0.0000,0.0191,0.0000,0.0115,0.000,32.41,32.0,3,2048
69294614,-0.132,-0.132,0.0000,0.0893,0.0000,0.0467,0.000,32.41,32.0,3,2048
69295888,-0.132,-0.132,0.0000,-0.0343,0.0000,0.0082,0.000,32.41,32.0,3,2048
69296621,-0.132,-0.132,0.0000,0.0359,0.0000,-0.0324,0.000,32.41,32.0,3,2048
69297560,-0.132,-0.132,0.0000,-0.0221,0.0000,0.0401,0.000,32.41,32.0,3,2048
69298899,-0.132,-0.132,0.0000,0.0038,0.0000,0.0093,0.000,32.41,32.0,3,2048
69299555,-0.132,-0.132,0.0000,-0.1244,0.0000,0.0016,0.000,32.41,32.0,3,2048
69300619,-0.132,-0.132,0.0000,0.1305,0.0000,0.0159,0.000,32.41,32.0,3,2048
69301555,-0.132,-0.132,0.0000,-0.0725,0.0000,-0.0016,0.000,32.41,32.0,3,2048
69302571,-0.132,-0.132,0.0000,-0.1183,0.0000,-0.0060,0.000,32.41,32.0,3,2048
69303882,-0.132,-0.132,0.0000,0.0603,0.0000,0.0060,0.000,32.41,32.0,3,2048
69304614,-0.132,-0.132,0.0000,-0.0298,0.0000,0.0203,0.000,32.41,32.0,3,2048
69305560,-0.132,-0.132,0.0000,0.0053,0.0000,-0.0247,0.000,32.41,32.0,3,2048
69306571,-0.132,-0.132,0.0000,-0.0938,0.0000,0.0170,0.000,32.41,32.0,3,2048
69307555,-0.132,-0.132,0.0000,-0.0359,0.0000,0.0016,0.000,32.41,32.0,3,2048
69308928,-0.132,-0.132,0.0000,-0.0557,0.0000,0.0027,0.000,32.41,32.0,3,2048
69309559,-0.132,-0.132,0.0000,-0.0389,0.0000,-0.0225,0.000,32.41,32.0,3,2048
69310576,-0.132,-0.132,0.0000,-0.0084,0.0000,-0.0137,0.000,32.41,32.0,3,2048
69311868,-0.132,-0.132,0.0000,0.0145,0.0000,0.0203,0.000,32.41,32.0,3,2048
69312611,-0.132,-0.132,0.0000,0.0725,0.0000,-0.0236,0.000,32.41,32.0,3,2048
69313882,-0.132,-0.132,0.0000,0.0755,0.0000,-0.0258,0.000,32.41,32.0,3,2048
69314575,-0.132,-0.132,0.0000,0.0542,0.0000,-0.0148,0.000,32.41,32.0,3,2048
69315880,-0.132,-0.132,0.0000,-0.0450,0.0000,-0.0192,0.000,32.41,32.0,3,2048
69316657,-0.132,-0.132,0.0000,-0.1152,0.0000,0.0203,0.000,32.41,32.0,3,2048
