t_us,p_cmd,p_act,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
49397561,0.000,-0.110,0.0000,-0.0359,0.0000,-0.0291,0.000,32.41,32.0,3,2048
49398901,0.000,-0.110,0.0000,0.0313,0.0000,0.0225,0.000,32.41,32.0,3,2048
49399555,0.000,-0.110,0.0000,-0.0160,0.0000,0.0192,0.000,32.41,32.0,3,2048
49400685,0.000,-0.110,0.0000,-0.0084,0.0000,-0.0181,0.000,32.41,32.0,3,2048
49401557,0.000,-0.110,0.0000,0.0038,0.0000,-0.0126,0.000,32.41,32.0,3,2048
49402555,0.000,-0.132,0.0000,-0.1244,0.0000,0.0203,0.000,32.41,32.0,3,2048
49403883,0.000,-0.132,0.0000,0.0679,0.0000,0.0269,0.000,32.41,32.0,3,2048
49404556,0.000,-0.110,0.0000,0.0435,0.0000,-0.0357,0.000,32.41,32.0,3,2048
49405627,0.000,-0.110,0.0000,-0.0496,0.0000,0.0115,0.000,32.41,32.0,3,2048
49406622,0.000,-0.110,0.0000,0.0221,0.0000,0.0027,0.000,32.41,32.0,3,2048
49407584,0.000,-0.132,0.0000,-0.0572,0.0000,0.0159,0.000,32.41,32.0,3,2048
49408906,0.000,-0.110,0.0000,0.0648,0.0000,-0.0137,0.000,32.41,32.0,3,2048
49409588,0.000,-0.110,0.0000,0.0099,0.0000,0.0236,0.000,32.41,32.0,3,2048
49410661,0.000,-0.132,0.0000,-0.0801,0.0000,0.0258,0.000,32.41,32.0,3,2048
49411876,0.000,-0.132,0.0000,-0.1045,0.0000,0.0038,0.000,32.41,32.0,3,2048
49412556,0.000,-0.132,0.0000,-0.0175,0.0000,-0.0269,0.000,32.41,32.0,3,2048
49413936,0.000,-0.132,0.0000,-0.0969,0.0000,-0.0236,0.000,32.41,32.0,3,2048
49414588,0.000,-0.110,0.0000,0.0496,0.0000,-0.0027,0.000,32.41,32.0,3,2048
49415913,0.000,-0.110,0.0000,-0.0404,0.0000,-0.0038,0.000,32.41,32.0,3,2048
49416587,0.000,-0.110,0.0000,0.0069,0.0000,0.0291,0.000,32.41,32.0,3,2048
49417587,0.000,-0.110,0.0000,0.0313,0.0000,0.0126,0.000,32.41,32.0,3,2048
49418903,0.000,-0.110,0.0000,0.0343,0.0000,0.0159,0.000,32.41,32.0,3,2048
49419587,0.000,-0.110,0.0000,0.0237,0.0000,-0.0269,0.000,32.41,32.0,3,2048
49420587,0.000,-0.110,0.0000,-0.0084,0.0000,0.0214,0.000,32.41,32.0,3,2048
49421582,0.000,-0.110,0.0000,0.0023,0.0000,0.0126,0.000,32.41,32.0,3,2048
49422597,0.000,-0.110,0.0000,0.0984,0.0000,0.0071,0.000,32.41,32.0,3,2048
49423881,0.000,-0.110,0.0000,-0.0511,0.0000,-0.0027,0.000,32.41,32.0,3,2048
49424556,0.000,-0.110,0.0000,0.0526,0.0000,-0.0027,0.000,32.41,32.0,3,2048
49425613,0.000,-0.132,0.0000,-0.0481,0.0000,0.0346,0.000,32.41,32.0,3,2048
49426606,0.000,-0.132,0.0000,0.0084,0.0000,-0.0203,0.000,32.41,32.0,3,2048
49427609,0.000,-0.110,0.0000,0.0938,0.0000,-0.0291,0.000,32.41,32.0,3,2048
49428884,0.000,-0.110,0.0000,0.0572,0.0000,-0.0005,0.000,32.41,32.0,3,2048
49429616,0.000,-0.132,0.0000,-0.0710,0.0000,-0.0005,0.000,32.41,32.0,3,2048
49430561,0.000,-0.110,0.0000,0.1183,0.0000,-0.0005,0.000,32.41,32.0,3,2048
49431887,0.000,-0.110,0.0000,0.1060,0.0000,0.0379,0.000,32.41,32.0,3,2048
49432556,0.000,-0.110,0.0000,0.0130,0.0000,-0.0181,0.000,32.41,32.0,3,2048
49433927,0.000,-0.132,0.0000,0.0069,0.0000,-0.0071,0.000,32.41,32.0,3,2048
49434561,0.000,-0.110,0.0000,0.0099,0.0000,-0.0038,0.000,32.41,32.0,3,2048
49435899,0.000,-0.110,0.0000,-0.0343,0.0000,-0.0104,0.000,32.41,32.0,3,2048
49436559,0.000,-0.110,0.0000,0.1457,0.0000,0.0346,0.000,32.41,32.0,3,2048
49437613,0.000,-0.110,0.0000,0.0526,0.0000,0.0005,0.000,32.41,32.0,3,2048
49438883,0.000,-0.132,0.0000,-0.0679,0.0000,0.0225,0.000,32.41,32.0,3,2048
49439576,0.000,-0.110,0.0000,0.0282,0.0000,0.0225,0.000,32.41,32.0,3,2048
49440560,0.000,-0.110,0.0000,-0.0008,0.0000,-0.0027,0.000,32.41,32.0,3,2048
49441608,0.000,-0.110,0.0000,-0.0481,0.0000,0.0236,0.000,32.41,32.0,3,2048
49442559,0.000,-0.132,0.0000,-0.0740,0.0000,0.0049,0.000,32.41,32.0,3,2048
49443897,0.000,-0.110,0.0000,-0.0481,0.0000,0.0126,0.000,32.41,32.0,3,2048
49444558,0.000,-0.110,0.0000,0.0740,0.0000,-0.0148,0.000,32.41,32.0,3,2048
49445613,0.000,-0.110,0.0000,0.0618,0.0000,0.0401,0.000,32.41,32.0,3,2048
49446559,0.000,-0.110,0.0000,-0.0008,0.0000,-0.0269,0.000,32.41,32.0,3,2048
49447572,0.000,-0.110,0.0000,0.1778,0.0000,0.0060,0.000,32.41,32.0,3,2048
49448878,0.000,-0.132,0.0000,-0.0404,0.0000,0.0478,0.000,32.41,32.0,3,2048
49449681,0.000,-0.132,0.0000,-0.0328,0.0000,0.0093,0.000,32.41,32.0,3,2048
49450562,0.000,-0.132,0.0000,-0.0771,0.0000,0.0126,0.000,32.41,32.0,3,2048
49451874,0.000,-0.110,0.0000,0.0313,0.0000,0.0071,0.000,32.41,32.0,3,2048
49452556,0.000,-0.110,0.0000,0.0450,0.0000,-0.0071,0.000,32.41,32.0,3,2048
49453880,0.000,-0.110,0.0000,0.0847,0.0000,-0.0060,0.000,32.41,32.0,3,2048
49454620,0.000,-0.110,0.0000,-0.0298,0.0000,0.0027,0.000,32.41,32.0,3,2048
49455913,0.000,-0.110,0.0000,0.0053,0.0000,0.0071,0.000,32.41,32.0,3,2048
49456626,0.000,-0.110,0.0000,-0.0450,0.0000,-0.0126,0.000,32.41,32.0,3,2048
49457594,0.000,-0.110,0.0000,0.0542,0.0000,0.0016,0.000,32.41,32.0,3,2048
49458909,0.000,-0.132,0.0000,-0.0328,0.0000,0.0016,0.000,32.41,32.0,3,2048
49459587,0.000,-0.110,0.0000,0.0084,0.0000,-0.0126,0.000,32.41,32.0,3,2048
49460661,0.000,-0.110,0.0000,-0.1305,0.0000,0.0357,0.000,32.41,32.0,3,2048
49461557,0.000,-0.110,0.0000,0.0053,0.0000,-0.0632,0.000,32.41,32.0,3,2048
49462587,0.000,-0.132,0.0000,-0.0282,0.0000,0.0621,0.000,32.41,32.0,3,2048
49463928,0.000,-0.132,0.0000,-0.0420,0.0000,-0.0467,0.000,32.41,32.0,3,2048
49464589,0.000,-0.132,0.0000,-0.0801,0.0000,-0.0126,0.000,32.41,32.0,3,2048
49465588,0.000,-0.132,0.0000,0.0603,0.0000,0.0137,0.000,32.41,32.0,3,2048
49466582,0.000,-0.132,0.0000,0.0587,0.0000,0.0005,0.000,32.41,32.0,3,2048
