t_s,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp
15.912,351.777,351.821,0,-0.016,0,0.0005,-0.018,32.38,38
15.947,351.777,351.821,0,-0.0282,0,-0.017,-0.018,32.38,38
15.958,351.777,351.821,0,0.0237,0,-0.0269,-0.018,32.38,38
15.991,351.777,351.821,0,0.0862,0,-0.006,-0.018,32.38,38
16.002,351.777,351.821,0,-0.0969,0,0.0236,-0.018,32.38,38
16.012,351.777,351.821,0,0.0069,0,-0.0071,-0.018,32.38,38
16.044,351.777,351.821,0,-0.0816,0,-0.0159,-0.018,32.38,38
16.055,351.777,351.799,0,-0.045,0,0.0049,-0.018,32.38,38
16.066,351.777,351.821,0,0.0496,0,0.0137,-0.018,32.38,38
16.096,351.777,351.821,0,-0.0267,0,-0.0005,-0.018,32.38,38
16.107,351.777,351.821,0,0.0038,0,-0.0423,-0.018,32.38,38
16.118,351.777,351.821,0,-0.0725,0,-0.0093,-0.018,32.38,38
16.148,351.777,351.821,0,-0.0191,0,0.0269,-0.018,32.38,38
16.159,351.777,351.821,0,-0.0725,0,-0.0093,-0.018,32.38,38
16.169,351.777,351.821,0,0.0328,0,-0.0005,-0.018,32.38,38
16.199,351.777,351.821,0,0.0679,0,0.0115,-0.018,32.38,38
16.21,351.777,351.821,0,-0.0587,0,0.0104,-0.018,32.38,38
16.221,351.777,351.821,0,0.0969,0,0.0115,-0.018,32.38,38
16.251,351.777,351.821,0,0.0481,0,-0.0071,-0.018,32.38,38
16.262,351.777,351.821,0,-0.0603,0,-0.006,-0.018,32.38,38
16.272,351.777,351.821,0,0.0145,0,0.0016,-0.018,32.38,38
16.302,351.777,351.799,0,-0.1106,0,-0.0192,-0.018,32.38,38
16.313,351.777,351.821,0,0.0557,0,-0.0214,-0.018,32.38,38
16.323,351.777,351.821,0,-0.0694,0,-0.0027,-0.018,32.38,38
16.343,351.777,351.821,0,0.0145,0,-0.0247,-0.018,32.38,38
16.346,351.777,351.799,0,-0.1289,0,-0.0269,-0.018,32.38,38
16.354,351.777,351.821,0,-0.0008,0,-0.0027,-0.018,32.38,38
16.364,351.777,351.799,0,-0.0374,0,0.0148,-0.018,32.38,38
16.374,351.777,351.799,0,0.0587,0,-0.028,-0.018,32.38,38
